Ankle boot,Bag,Coat,Dress,Pullover,Sandal,Shirt,Sneaker,T-shirt/Top,Trouser,Date,Mean Accuracy,Process Time,Time per Prediction
97.95,98.26,75.28,89.82,83.19,98.81,75.26,96.04,82.59,99.25,2023-01-25 11:26:30.699155,89.69,17.501,0.00882
99.47,99.99,71.3,97.61,90.91,100.0,64.46,92.94,76.82,100.0,2023-01-25 12:10:36.528062,89.47,0.695,0.003884115
99.47,99.99,71.3,97.61,90.91,100.0,64.46,92.94,76.82,100.0,2023-01-25 12:12:31.306986,89.47,0.618,0.003168432
99.47,99.99,71.3,97.61,90.91,100.0,64.46,92.94,76.82,100.0,2023-01-25 12:12:40.161972,89.47,0.387,0.000998453
99.47,99.99,71.3,97.61,90.91,100.0,64.46,92.94,76.82,100.0,2023-01-25 12:12:52.767070,89.47,0.401,0.001084826
99.47,99.99,71.3,97.61,90.91,100.0,64.46,92.94,76.82,100.0,2023-02-20 13:29:28.350529,89.47,5.982,0.05468
